Dead Birds Reported, Tested, and Positive
for WNV by County in California in 2009
Year To Date (Weeks 1 - 53)
(2017-02-23) - Source: http://www.westnile.ca.gov

County	Reported*	Tested	Positive	% Tested Positive
Alameda	414	60	10	17%
Alpine	1	-	-	-
Amador	40	4	1	25%
Butte	381	61	13	21%
Calaveras	44	3	-	-
Colusa	30	6	2	33%
Contra Costa	1221	198	45	23%
Del Norte	11	-	-	-
El Dorado	283	52	9	17%
Fresno	977	155	59	38%
Glenn	95	20	6	30%
Humboldt	32	7	-	-
Imperial	30	-	-	-
Inyo	22	6	-	-
Kern	617	86	28	33%
Kings	152	28	9	32%
Lake	39	8	2	25%
Lassen	7	1	-	-
Los Angeles	2014	380	82	22%
Madera	108	21	11	52%
Marin	147	-	-	-
Mariposa	28	3	-	-
Mendocino	49	6	-	-
Merced	303	25	9	36%
Modoc	13	8	1	13%
Mono	7	5	-	-
Monterey	147	17	4	24%
Napa	91	5	-	-
Nevada	96	17	-	-
Orange	862	349	10	3%
Placer	402	49	4	8%
Plumas	25	1	-	-
Riverside	364	17	2	12%
Sacramento	1423	213	28	13%
San Benito	26	5	-	-
San Bernardino	524	108	17	16%
San Diego	453	187	39	21%
San Francisco	83	12	1	8%
San Joaquin	581	112	23	21%
San Luis Obispo	143	18	1	6%
San Mateo	178	37	1	3%
Santa Barbara	63	7	1	14%
Santa Clara	628	85	14	16%
Santa Cruz	169	21	1	5%
Shasta	266	48	9	19%
Sierra	-	-	-	-
Siskiyou	6	1	-	-
Solano	262	7	3	43%
Sonoma	230	-	-	-
Stanislaus	594	84	28	33%
Sutter	63	4	-	-
Tehama	51	14	-	-
Trinity	10	-	-	-
Tulare	392	82	25	30%
Tuolumne	33	11	2	18%
Ventura	265	41	3	7%
Yolo	310	44	7	16%
Yuba	17	1	-	-
State Totals	15822	2740	510	19%

* Birds in a die-off are not included in reported totals because the deaths are not related to WNV. A die-off is defined as a group of 10 or more same species dead birds unless the species is American Crow.
Source: Vector-Borne Disease Section, California Department of Public Health
