Dead Birds Reported, Tested, and Positive
for WNV by County in California in 2006
Year To Date (Weeks 1 - 53)
(2017-02-23) - Source: http://www.westnile.ca.gov

County	Reported*	Tested	Positive	% Tested Positive
Alameda	1656	266	41	15%
Alpine	6	2	-	-
Amador	181	28	2	7%
Butte	853	108	40	37%
Calaveras	265	36	2	6%
Colusa	50	14	9	64%
Contra Costa	3474	386	92	24%
Del Norte	19	7	-	-
El Dorado	779	134	19	14%
Fresno	2885	323	75	23%
Glenn	167	71	35	49%
Humboldt	139	39	2	5%
Imperial	37	4	-	-
Inyo	106	25	8	32%
Kern	932	118	24	20%
Kings	337	50	13	26%
Lake	279	33	8	24%
Lassen	62	12	3	25%
Los Angeles	2479	646	98	15%
Madera	242	51	3	6%
Marin	829	44	9	20%
Mariposa	75	12	1	8%
Mendocino	186	44	7	16%
Merced	681	87	41	47%
Modoc	27	8	2	25%
Mono	65	6	1	17%
Monterey	475	88	5	6%
Napa	237	32	8	25%
Nevada	352	59	4	7%
Orange	1075	173	33	19%
Placer	1423	117	13	11%
Plumas	69	12	-	-
Riverside	901	112	3	3%
Sacramento	4829	423	89	21%
San Benito	95	21	1	5%
San Bernardino	1261	187	33	18%
San Diego	861	391	26	7%
San Francisco	299	49	3	6%
San Joaquin	2007	131	47	36%
San Luis Obispo	513	93	14	15%
San Mateo	999	158	7	4%
Santa Barbara	488	81	19	23%
Santa Clara	3293	413	224	54%
Santa Cruz	412	77	7	9%
Shasta	569	154	89	58%
Sierra	5	3	-	-
Siskiyou	19	7	1	14%
Solano	1425	90	21	23%
Sonoma	1338	119	23	19%
Stanislaus	1596	212	77	36%
Sutter	284	14	2	14%
Tehama	190	40	12	30%
Trinity	28	6	1	17%
Tulare	803	126	14	11%
Tuolumne	130	29	1	3%
Ventura	1150	229	62	27%
Yolo	1657	235	54	23%
Yuba	183	6	1	17%
State Totals	45777	6441	1429	22%

* Birds in a die-off are not included in reported totals because the deaths are not related to WNV. A die-off is defined as a group of 10 or more same species dead birds unless the species is American Crow.
Source: Vector-Borne Disease Section, California Department of Public Health
