Dead Birds Reported, Tested, and Positive
for WNV by County in California in 2012
Year To Date (Weeks 1 - 53)
(2017-02-23) - Source: http://www.westnile.ca.gov

County	Reported*	Tested	Positive	% Tested Positive
Alameda	591	118	15	13%
Alpine	2	2	-	-
Amador	37	-	-	-
Butte	530	111	53	48%
Calaveras	43	2	-	-
Colusa	52	8	5	63%
Contra Costa	1821	106	66	62%
Del Norte	-	-	-	-
El Dorado	387	99	5	5%
Fresno	410	60	25	42%
Glenn	57	28	16	57%
Humboldt	11	4	-	-
Imperial	4	-	-	-
Inyo	7	-	-	-
Kern	367	58	14	24%
Kings	74	13	2	15%
Lake	97	22	10	45%
Lassen	6	-	-	-
Los Angeles	3591	557	271	49%
Madera	58	13	2	15%
Marin	192	10	1	10%
Mariposa	7	1	-	-
Mendocino	66	12	6	50%
Merced	391	60	42	70%
Modoc	7	4	-	-
Mono	2	-	-	-
Monterey	125	29	-	-
Napa	82	9	1	11%
Nevada	79	16	3	19%
Orange	770	349	90	26%
Placer	616	320	60	19%
Plumas	13	-	-	-
Riverside	351	32	5	16%
Sacramento	3687	960	466	49%
San Benito	20	4	-	-
San Bernardino	652	120	39	33%
San Diego	259	112	2	2%
San Francisco	118	19	1	5%
San Joaquin	899	145	58	40%
San Luis Obispo	131	16	1	6%
San Mateo	412	54	5	9%
Santa Barbara	71	13	-	-
Santa Clara	868	164	20	12%
Santa Cruz	185	39	1	3%
Shasta	284	69	36	52%
Sierra	2	1	-	-
Siskiyou	10	2	-	-
Solano	563	49	28	57%
Sonoma	400	55	8	15%
Stanislaus	792	112	51	46%
Sutter	167	43	29	67%
Tehama	113	11	5	45%
Trinity	4	-	-	-
Tulare	387	110	54	49%
Tuolumne	20	1	-	-
Ventura	494	103	38	37%
Yolo	602	201	98	49%
Yuba	150	18	11	61%
State Totals	22136	4464	1643	37%

* Birds in a die-off are not included in reported totals because the deaths are not related to WNV. A die-off is defined as a group of 10 or more same species dead birds unless the species is American Crow.
Source: Vector-Borne Disease Section, California Department of Public Health
