County;No. mosquitoes tested;No. mosquito pools tested;WNV positive pools;WNV Minimum Infection Rate, by PCR only
Alameda;8,396;202;0;0.00
Alpine;0;NA;NA;NA
Amador;0;NA;NA;NA
Butte;6,030;124;1;0.17
Calaveras;0;NA;NA;NA
Colusa;0;NA;NA;NA
Contra Costa;10,538;309;2;0.19
Del Norte;0;NA;NA;NA
El Dorado;0;NA;NA;NA
Fresno;39,627;1,010;122;3.08
Glenn;1,100;22;0;0.00
Humboldt;0;NA;NA;NA
Imperial;1,494;34;3;2.01
Inyo;1,862;44;2;1.07
Kern;108,709;3,141;389;3.58
Kings;31,431;836;63;2.00
Lake;13,194;372;3;0.23
Lassen;0;NA;NA;NA
Los Angeles;145,732;3,952;465;3.19
Madera;1,364;47;5;3.67
Marin;4,051;450;0;0.00
Mariposa;0;NA;NA;NA
Mendocino;0;NA;NA;NA
Merced;9,844;285;11;1.12
Modoc;0;NA;NA;NA
Mono;0;NA;NA;NA
Monterey;400;8;0;0.00
Napa;10,554;237;0;0.00
Nevada;0;NA;NA;NA
Orange;40,170;1,412;91;2.27
Placer;36,605;1,937;48;1.31
Plumas;32;3;0;0.00
Riverside;152,091;4,061;56;0.37
Sacramento;70,076;5,236;381;5.44
San Benito;0;NA;NA;NA
San Bernardino;61,294;2,083;150;2.45
San Diego;906;45;1;1.10
San Francisco;387;11;0;0.00
San Joaquin;24,763;1,295;51;2.06
San Luis Obispo;1,820;42;0;0.00
San Mateo;0;NA;NA;NA
Santa Barbara;22,301;486;0;0.00
Santa Clara;4,557;381;16;3.51
Santa Cruz;0;NA;NA;NA
Shasta;12,023;389;1;0.08
Sierra;6;1;0;0.00
Siskiyou;0;NA;NA;NA
Solano;967;22;0;0.00
Sonoma;18,729;1,326;2;0.11
Stanislaus;37,404;1,079;89;2.38
Sutter;10,662;275;26;2.44
Tehama;0;NA;NA;NA
Tulare;15,835;479;82;5.18
Tuolumne;0;NA;NA;NA
Ventura;2,115;47;0;0.00
Yolo;18,421;1,149;7;0.38
Yuba;1,256;45;1;0.80
Total;926,746;32,877;2,068;2.23
